Name,Country,Latitude,Longitude,Language
Abia,NG,5.454095299,7.5153071,en
Adamawa,NG,9.512977199,12.3881887,en
Akwa Ibom,NG,4.9408638,7.8412267,en
Anambra,NG,6.218313599,6.9531842,en
Bauchi,NG,10.6228284,10.0287754,en
Bayelsa,NG,4.7629786,6.028898,en
Benue,NG,7.350574699,8.7772877,en
Borno,NG,12.1875392,13.3080034,en
Cross River,NG,5.867196599,8.5204774,en
Delta,NG,5.527306099,6.1784167,en
Ebonyi,NG,6.199691799,8.0348906,en
Edo,NG,6.607657499,5.9722713,en
Ekiti,NG,7.736890999,5.2738326,en
Enugu,NG,6.553609399,7.4143061,en
Federal Capital Territory,NG,8.831122799,7.1724673,en
Gombe,NG,10.38301,11.206567,en
Imo,NG,5.585945599,7.0669651,en
Jigawa,NG,12.3252362,9.5103296,en
Kaduna,NG,10.3825318,7.8533226,en
Kano,NG,11.8948389,8.5364136,en
Katsina,NG,12.5630825,7.6207063,en
Kebbi,NG,11.4167574,4.1074545,en
Kogi,NG,7.794960199,6.6868669,en
Kwara,NG,8.836789099,4.6688487,en
Lagos,NG,6.526903299,3.5774005,en
Nasarawa,NG,8.438786799,8.2382849,en
Niger,NG,9.932608299,5.6511088,en
Ogun,NG,6.978858199,3.4389293,en
Ondo,NG,7.020968599,5.0567477,en
Osun,NG,7.548404699,4.4978307,en
Oyo,NG,8.215124899,3.5642897,en
Plateau,NG,9.058344599,9.6826289,en
Rivers,NG,4.8416028,6.8604088,en
Sokoto,NG,13.0611195,5.3152203,en
Taraba,NG,8.014133399,10.7376336,en
Yobe,NG,12.1233242,11.5065937,en
Zamfara,NG,12.0078998,6.4191432,en